бязь,"агъ (ди, ар)"
состояние,хIал
старший,хIаф
сказка,"хIикат (и, ар)"
сказочный,хIикатинф
счет,хIисаб
считать,хIисаб акьас
село,"хIур (и, ар)"
сельский,хIуринф
спор,хIуьджат
страна,"хIуькумат (хIуькуматти, хIуькуматар)"
сталь,хIуьлдан
суслик,хIуьрчал
стена,"цал (цили, цилар)"
сначала,цIае кIилиас
свежий,цIаеф
свадьба,цIакIин
семьнадцать,цIеерид
семьнадцатый,цIееридпеф
сверчок,цIицI
старый (о вещах),цIуьреф
сами,чаб
себя (мн.ч.),чаб
сапог,чакма
сапожник,"чакмачи (-, бур)"
сапожничать,чакмачивел акьас
сетка,чал
сеть,чал
спеленать,чаппаригI гIадиджанас
сложность,четинвел
сложно,четинди
сложный,четинф
сестра,"чи (ччиччи, чияр)"
светильник,чирагъ
светловолосый,чиреф
степь,чул
синева,"чуллевел (ди, ар)"
синий,чуллеф
складки (на теле),ччварччв
сестра (старшая),ччиччай
слово,"чIал (а, ар)"
сорняк,"чIал (а, ар)"
сума,"чIилIан (и, ар)"
сумка,"чIилIан (и, ар)"
соринка,чIирхI
сор,чIирхIар
сквернословие,чIирхIе чIалар
сквернослов,чIирхIе чIалар агъаф
сквернословить,чIирхIе чIалар пас
свидетель,шагьид
свидетельство,"шагьидвел (ди, ар)"
сомнение,шак
сомневаться,шак вес
сахар,шаккар
свеча,шам
сглаживать,шергве акьас
свекровь,шуван баб
свекр,шуван дад
супруг,"шуй (шува, шувар)"
супруги,шуйна хьир
сидеть,"экьвас (эркьвай, экьуна, экьве, экьуб, амеркьва)"
сажать,экьвас акьас
севший,экьуф
скучать,"эл ккетас (- ккертай, - ккетуна, - ккет, - ккетуб, - ккемарта)"
скучание,эл ккетуб
скучный,эл ккикуф
смех,элхъ
смеяться,"элхъенас (элхъенди, элхъуьна, элхъен, элхъуьб, мелхъена)"
скрида,эпел
среда,эрбеI
солома,эргъелар
спокойно,яваштти
спокойный,явашттинф
смазка (техническая),ягъ
сутки,ягъна Iуьш
сорок,ягъцIур
сороковой,ягъцIурпеф
сегодня,ягIа
сегодняшний,ягIайинф
сообщать,ягIар акьас
сообщить,ягIар акьас
сели,ярхар
ступай,ях
совесть,яхI
середина,яI
средний,яIанигI гIаеф
сильно,Iайи
сырость,Iаш
сыреть,"Iашас (Iаршай, Iашуна, Iаш, Iашуб, маIарша)"
сырой,Iашуф
свет,"Iекв (Iеку, -)"
светить,Iекв акьас
светлый,Iеквеф
скорпион,Iекьраб
сновидение,IемкI
сон,IемкI
свернуть,Iуджал акьас
сворачивать,Iуджал акьас
складывать,Iуджал акьас
сложить,Iуджал акьас
свернуться,Iуджал хьас
сворачиваться,Iуджал хьас
складываться,Iуджал хьас
сложиться,Iуджал хьас
сено,IуькIер
собирать сено,IуькIер дивас
собрать сено,IуькIер дивас
старость,Iуьссевел
старик,Iуьссеф
старый,Iуьссеф
съесть,"IуьтIанас (Iелди, IуьтIуна, IуьтIан, IуьтIуб, меIела)"
стирать,"Iуьччанас (Iуьрччанди, Iуьччуна, Iуьччан, Iуьччуб, маIуьрччана)"
стирка,Iуьччуб
тетя,"абаб (абаба, абабар)"
тетин,абабанф
танец (быстрый),аваркавха
тысяча,агъзур
тысячный,агъзурпеф
торчать,"агъутIанас (агъуртIанди, агъутIуна, агъутIен, агъутIуб, агъумартIа)"
только что,агьалсуман
тонуть,"ачадивас (ачадивай, ачадивуна, ачадив, ачадивуб, ачмадива)"
тратить,"ачатас (ачартай, ачатуна, ачат, ачатуб, ачмарта)"
тыкать,"ачирхIас (ачирхIай, ачирхIуна, ачирхI, ачирхIуб, ачимирхIа)"
тыкнуть,"ачирхIас (ачирхIай, ачирхIуна, ачирхI, ачирхIуб, ачимирхIа)"
тесьма,"багъ (у, ар)"
толстуха,бахьалай
толстяк,бухьач
тополь,верхь
твой,веф
тебя,вун
ты,вун
там (внизу),гисаъ
теряться,"гуланас (гуланди, гулуна, гулан, гулуб, магулана)"
терять,гуланас акьас
тарелка,"гур (а, ар)"
трусливый,гучIаф
трус,гучIрахI
трусливый,гучIрахI
трусость,гучIрахIвел
тагана,"гъул (у, ар)"
таганок,"гъул (у, ар)"
тренога,"гъул (у, ар)"
торчать,"гъутIас (гъутIай, гъутIуна, гъутI, гъутIуб, гъумартIа)"
теперь,гьал
теперешний,гьалдин
талант,"гьунар (и, ар)"
талантливый,"гьунарлу (йи, бур)"
традиция,"гIедат (гIедати, гIедатар)"
традиционный,гIедатин
трус,гIурацай
тупизна (свойство),дартIавел
тупой (предмет),дартIаф
тамбурин,дафтт
тетрадь,"дафттар (и, ар)"
тело,"джан (джанди, -)"
тянуть,"дивас (дивай, дивуна, див, дивуб, мадива)"
туман,"диф (ура, ар)"
туманный,дифуранф
тюрьма,"дусттагъ (и, ар)"
тужиться,зигIас
тряска,зузрзуб
тирания,зулум
трясти (сь),зурзас
тепло,ибгIавел
теплота,ибгIавел
теплый,ибгIаф
так как,идехIела
тонкая кишка,икее руд
тонкий (о крулгых предметах),иккеф
товарищ,"илдеш (и, ар)"
теснина,"исал (и, ар)"
тропинка,исал рекъ
теснота,исалвел
тесно,исалди
тесный,исалф
тереть,ихас
точить,ихас
тушить,кедатас
трогать,"кирхIас (кирхIай, кирхIуна, кирхI, кирхIуб, кимирхIа)"
тронуть,"кирхIас (кирхIай, кирхIуна, кирхI, кирхIуб, кимирхIа)"
тухлый,кихъуруф
терпеть,"ккихас (ккихай, ккихуна, кких, ккихуб, ккимиха)"
терпеливый,ккихаф
терпение,ккихуб
тулуп,ккул
табуретка,курси
тыква,къабахъ
тяжесть,къакъ
тигр,"къафлан (ди, ар)"
тигринный,къафландинф
тяжелый,къикъеф
тяжкий,къикъеф
тяжело,къикъи
тяжко,къикъи
твердеть,къукъас
твердый,къукъуф
трахея,"къух (у, ар)"
тупить,къуьре акьас
тупой (предмет),къуьреф
телосложение,кьаркьала
тесло (инструмент),кьуй
ткань,кьумаш
трястись,кIакIас
толпа,"кIапIал (и, ар)"
талисман,"кIедж (и, ар)"
тонкий,кIиллеф
тапки,лек ачирхIаттар
тапочки,лек ачирхIаттар
текст,ликIинаттар
там (наверху),лисаъ
труд,"лихун (и, ар)"
танцевать,"лихъванас (лихъванди, лихъуна, лихъван, лихъуб, малирхъвана)"
танцор,лихъванф
танец,"лихъун (и, ар)"
туда (наверх),лич
телка,лучI
труп,майит
так,миштти
такой,мишттинф
также,мишттира
туша (сушенная),мугулар
топтать,муркI ес
толокно,муссу
творог,мутал
темнота,"мучI (ина, ар)"
тьма,"мучI (ина, ар)"
темнеть,мучI фадаркас
темный,мучIеф
тростник,"нецIвар (и, -)"
точка,нукьтIта
ток,"ратт (и, ар)"
тропа,"рекъ (уь, ер)"
тетива,рицI
ткать,"рухас (рухай, рухуна, рух, рухуб, маруха)"
торг,савда
торговля,савда
торговец,савдагар
тур,суван кьун
толщина,суьвевел
толщь,суьвевел
толстый,суьвеф
тучный,суьвеф
таз,таш
там,тисаъ
туда,тич
таз (большой для купания),тиян
трусить (ковер),"ттуттанас (ттурттанди, ттуттуна, ттуттан, ттуттуб, маттурттана)"
трясти,"ттуттанас (ттурттанди, ттуттуна, ттуттан, ттуттуб, маттурттана)"
тутовник (плод),"тут (у, ар)"
тутовник (дерево),тутун кIур
требование,"тIалаб (и, ар)"
требовать,тIалаб акьас
трескаться,"тIеркIвенас (тIеркIвенди, тIеркIуьна, тIеркIвен, тIеркIуьб, матIеркIвена)"
теленок,"урч (уна, ар)"
телятина,урчунан якк
телячий,урчунанф
табасараны,уханар
таять,уьцIас
так как,фас пичин
трюк,фенд
трюкач,фендигар
траншея,хандаг
трата,хардж
тыква,хъабахъ
тащить (кого-что л),"хъучIирхIас (хъучIирхIай, хъучIурхIуна, хъучIурхI, хъучIурхIуб, ?)"
три,хьибуд
третий,хьибудпеф
тридцать,хьибцIур
тридцатый,хьибцIурпеф
теща,"хьиджарбаб (хьиджарбаба, хьиджарбабар)"
тесть,"хьиджардад (хьиджардада, хьиджардадар)"
тулуп (горский),хIаккул
трон,хIаттин мукь
туалет,хIаш
торжество,"хIаягъ (а, ар)"
торжественный,хIаягъанф
тмин,хIешв
тринадцать,цIехьибуд
тринадцатый,цIехьибудпеф
трудность,четинвел
трудно,четинди
трудный,четинф
троюродная сестра,чибхарис хеттар
троюродный брат,чибхарис хеттар
телега,чукьвар
тетя (уваж. обращение),ччиччай
тетерев,чIирин ккекк
таять,элхIес
тень,эхъ
топор,"якIв (ала, ар)"
талия,"яIар (и, ар)"
только,Iари
тряпка,IартIв
трава,"IуькI (и, ер)"
топтать,Iуьрджас
фурункул,"асхъай (асхъайи, асхъаяр)"
фитиль,"багъ (у, ар)"
фиалка,беневша
фиалка,бенешва
филин,"бугьу (йи, бур)"
фунт,гирванка
фрукт,"емиш (емиша, емишар)"
фруктовый,емишанф
фотография,ишкил
фильтровать,кетас
фальш,кьалп
фальшивый,кьалп
фасон,кIалиб
фигура,кIалиб
форма,кIалиб
фартук,"мухуригьан (ди, ар)"
фамилия,"тухум (ди, ар)"
фамильный,тухумдинф
флаг,тIаратI
фонарь,чирагъ
фундамент,шавратI
хлестать,"аладивас (аладивай, аладивуна, аладив, аладивуб, алмадива)"
хлестнуть,"аладивас (аладивай, аладивуна, аладив, аладивуб, алмадива)"
харчевня,ашхана
хорошеть,батIар хьас
хорошенкьо,батIарди
холера,ваба
ходить,"вес (вей, ушуна, ях, ушуб, мева)"
хлеб,"гуни (-, вар)"
хватать (кому-чему-л),"гьуркIас (гьуркIас, гьуркIуна, -, гьуркIуб, -)"
хватить (кому-чему-л),"гьуркIас (гьуркIас, гьуркIуна, -, гьуркIуб, -)"
хоть,дехIера
хотя бы,дехIера
хилый,забунф
худой,забунф
храбрец,зурба
хороший,иджеф
хорошо,иджи
хряк,илле вакк
художник,"ишкилчи (-, бур)"
хотеть,"кканхьас (кканди, - кканхьуна, - кканухь, - кканхьеб, - кканмева)"
хохолок,ккукк
хрящ,кьамкьаш
храбрец,кьехIел
храбрость,кьехIелвел
храбрый,кьехIелф
хвастливый,кIамай
хвастун,кIамай
холм,"кIунтI (ала, ар)"
ходули,лекухъанар
хозяйство,"магIишат (и, ар)"
хозяйственный,магIишатинф
холод,"мекI (микIила, мекIер)"
хлев,"мехь (и, ер)"
холодно,микIилди
хоронить,некьвиъ икIас
холодный,ругъуф
хвост,"рудж (ура, ар)"
ходить,"руцас (руцай, руцуна, руц, руцуб, маруца)"
хвала,тегIриф
хранить,ухIас
хранение,ухIуб
характер,хасият
хинкал,хинкIар
хобот,хуртIум
хомяк,хIуьрчал
хватит,чIевене
хлопок,чIепI
хлопать,чIепI акьас
хозяин,"эесси (-, бур)"
худой,яхунф
хромать,Iатт акьас
хромец,Iаттай
хромец,Iаттач
хромой,Iаттеф
цветник,бустан
целый год,истти
цель (мишень),"ишан (ди, ар)"
цедить,кетас
церковь,килиса
цель,"кьастт (уни, ар)"
цена,кьимат
целый,кIилинф
целовать,"мач икIас (- икIай, - икIуна, - икI, - икIуб, - имикIа)"
царь,"паччагь (ди, ар)"
царство,"паччагьвел (ди, ар)"
царский,паччаьдинф
цвет,ранг
цветной,рангаринф
цветок,"тук (у, ар)"
цвести,тук адахъас
цветочный,тукаринф
цепляться,хъукъас
цыпленок,цIибцIибай
цыпленок,чарккв
центр,яI
центральный,яIанигI гIаеф
чудище,"адждагьа (аджагьайи, аджагьабур)"
"чистить (кожуру, кору и т.д.)","алакьас (алакьай, алакьуна, алакь, алакьуб, алмакьа)"
чирей,"асхъай (асхъайи, асхъаяр)"
чинить,батIар акьас
черешня,"бегIли (-, бур)"
чаша,"вакъ (ала, ар)"
чашка,"вакъ (ала, ар)"
чижик,гиштта
череп,"гуг (у, ар)"
чужбина,"гъурбат (и, -)"
черстветь,гIакьас
черствый,гIакьуф
чих,гIемчи
чихание,гIемчи
чем,дала
частушка,даллай
человек,"инсан (ди, ар)"
человечность,"инсанвел (ди, -)"
человечный,инсандинф
чесотка,кабк
чесоточный,кабкар кеяф
честно,кеки
честность,кекивел
честный,кекинф
часть,кквал
чекнутый,кумеф
черепаха,къаркагIуб
чуду,"кьутIур (и, ар)"
черпак,кьуш
челюсть,кIампур
черный,кIареф
чернок,"кIучI (ала, ар)"
честь,ламус
чернила,маракам
челка,мег
чуб,мег
чубатый,"мегеч (а, ар)"
чертополох,меркIв
чистить,мертт акьас
чистый,мерттеф
чисто,мертти
червь,милехъв
челюсть,мучIурин кул
часть,пай
чувствовать боль,руцIас
чеснок,серг
час,"сеIет (сеIетти, сеIетар)"
часы (прибор),"сеIет (сеIетти, сеIетар)"
чесать (ся),угас
чужой,уринф
что,фи
чревоугодник,фунтай
четверг,хамис
читать,"хурас (хурай, хуруна, хур, хуруб, махура)"
чатающий,хураф
чтец,хураф
часто,хъай хъай
чабан,"хIуппахъан (ди, ар)"
чабанский,хIуппахъандинф
четырнадцать,цIеякьуд
четырнадцатый,цIеякьудпеф
чайник,чайдан
черкеска,чухай
чуть-чуть,чIукь чIукь
четыре,якьуд
четвертый,якьудпеф
чуду полукруглой формы,Iуьфер
штопать,алатIас
штопать,батIар акьас
шея,"гардан (ди, ар)"
шейный,гардандинф
шлепок,гъарпI
шлепать,гъарпI акьас
шлепнуть,гъарпI акьас
штык,"гъуч (у, ар)"
шалопай,гIаруцай
шатун,гIаруцай
шалости,даваттар
шалить,даваттар акьас
шалун,даваттин гунтI
шить,дукьанас
шесть,ерхьид
шестой,ерхьидпеф
шестьдесят,ехьцIур
шестидесятый,ехьцIурпеф
шип,"заз (у, ар)"
шутка,зарафат
шутник,"зарафатчи (-, бур)"
шелк,ипак
шуба,ккул
шкатулка,"кьвати (-, бур)"
шкура (мелко рогатого скота),кьудакь
шкура (крупно рогатого скота),"леъ (леъуь, леъер)"
школа,"мактаб (и, ар)"
школьный,мактабинф
штора,парда
ширенга,радж
шило,реб
шприц,реб
шатать (ся),"ттуттанас (ттурттанди, ттуттуна, ттуттан, ттуттуб, маттурттана)"
шторм,тIурфан
шевелиться,"тIушанас (тIуршай, тIушуна, тIушан, тIушуб, матIуршана)"
шум,ун
шапка,хукI
шероховатый,хуцIеф
шершавый,хуцIеф
шерсть,хьей
шурин,хьиран чу
шея,хIав
шестнадцать,цIеерхьид
шестнадцатый,цIеерхьидпеф
шакал,чакъал
шнур,ччеI
шнурок,ччеI
шиповник,чIивар
штаны,"шавлар (и, -)"
шут,Iабкьун
шаг,Iама
шагать,Iама акьас
шагнуть,Iама акьас
шагание,Iама акьуб
ширина,IирIевел
широкий,IирIеф
щекотка,вичIвичIар
щедрый,дахъу гъил
щенок,курцIул
щенячий,курцIулинф
щипцы,къецI
щека,кIумпI
щавель (конский),лусар
щека,хъуьссуйин кьул
щипок,шутI
щипать,"шутI икIас (- икIай, - икIуна, - икI, - икIуб, - имикIа)"
щель,"IачI (а, ар)"
щавель,IуьчIе лус
агул,агъул
агулка,агъул хьир
агул,агъул шуй
агулы,агъулар
аромат,батIар ниъ
атмосфера,"гьава (йи, бур)"
аргумент,"далил (и, ар)"
ад,"джегьенем (ди, -)"
аппетит,ишттагь
аж,кехIей
айва,куршам
асфальт,къир
армия,"къушум (ди, ар)"
амулет,"кIедж (и, ар)"
альчик,кIут
ангел,"малайик (ди, ар)"
ангельский,малайикдинф
абрикос,машмаш
акробат,пагьливан
аналогия,сасуманвел
аналогичный,сасуманф
аварцы,сурхIар
арбуз,хъалпусак
активность,хIеракатвел
активист,"хIеракатлу (йи, бур)"
активный,"хIеракатлу (йи, бур)"
аул,"хIур (и, ар)"
аульский,хIуринф
атака,хIуьджум
арба,чукьвар
ашуг,Iешукь
есть (находиться),ая
едва ли,баджат
едущий,вереф
ездить,"вес (вей, ушуна, ях, ушуб, мева)"
ехать,"вес (вей, ушуна, ях, ушуб, мева)"
еврей,джугьутI
ель,зирд
если,ичин
ёж,кьедибан
ежевика,мере
ежели,нагагь
если,нагагь
еще раз,сагелай сара
единство,садвел
еще,сара
еще,хъара
есть (является),э
еда,Iелеф
есть (пищу),"IуьтIанас (Iелди, IуьтIуна, IуьтIан, IуьтIуб, меIела)"
еда,"IуьтIуб (а, ар)"
есть (находиться),ая
едва ли,баджат
едущий,вереф
ездить,"вес (вей, ушуна, ях, ушуб, мева)"
ехать,"вес (вей, ушуна, ях, ушуб, мева)"
еврей,джугьутI
ель,зирд
если,ичин
ёж,кьедибан
ежевика,мере
ежели,нагагь
если,нагагь
еще раз,сагелай сара
единство,садвел
еще,сара
еще,хъара
есть (является),э
еда,Iелеф
есть (пищу),"IуьтIанас (Iелди, IуьтIуна, IуьтIан, IуьтIуб, меIела)"
еда,"IуьтIуб (а, ар)"
изгнать,"адикас (адикай, адикуна, адик, адикуб, адимика)"
изгонять,"адикас (адикай, адикуна, адик, адикуб, адимика)"
"издавать (книгу, газету, указ...)",адихьас
"издать (книгу, газету, указ...)",адихьас
инструмент,"алат (и, ар)"
измерить,"алцанас (алцанди, алцуна, алцен, алцуб, малцана)"
измерять,"алцанас (алцанди, алцуна, алцен, алцуб, малцана)"
извлекать,"аттивас (аттивай, аттивуна, аттив, аттивуб, аттимива)"
извлечь,"аттивас (аттивай, аттивуна, аттив, аттивуб, аттимива)"
исследовать,ахттармиш акьас
израсходовать,"ачатас (ачартай, ачатуна, ачат, ачатуб, ачмарта)"
имение,аяттар
имущество,аяттар
испавлять,батIар акьас
исправить,батIар акьас
идущий,вереф
идти,"вес (вей, ушуна, ях, ушуб, мева)"
иней,гандридж
исчезать,"гуланас (гуланди, гулуна, гулан, гулуб, магулана)"
исчезнуть,"гуланас (гуланди, гулуна, гулан, гулуб, магулана)"
исчезновение,гулуб
исчезнувший,гулуф
испугаться,гучI хьас
извенить,гъил гъушанас
извенять,гъил гъушанас
извини,гъил гъушен
извенение,"гъил гъушуб (а, ар)"
икота,гьинкI
икать,гьинкI йирхIас
избирать,"гIаттивас (гIаттивай, гIаттивуна, гIаттив, гIаттивуб, гIаттимива)"
избрать,"гIаттивас (гIаттивай, гIаттивуна, гIаттив, гIаттивуб, гIаттимива)"
избиратель,гIаттиваф
избранный,гIаттивуф
избалованный,гIентIеф
иначе,дахьичин
итог,джам
изнашивать (ся),"дургъас (дургъай, дургъуна, дургъ, дургъуб, мадургъа)"
износить (ся),"дургъас (дургъай, дургъуна, дургъ, дургъуб, мадургъа)"
изношенный,дургъуф
играть,"дурхIас (дурхIай, дурхIуна, дурхI, дурхIуб, мадурхIа)"
игрок,дурхIаф
игра,"дурхIуб (а, ар)"
изменить,духIуба акьас
изменять,духIуба акьас
измениться,духIуба хьас
изменяться,духIуба хьас
изменение,духIуба хьеб
изменившийся,духIуба хьеф
изменик,езид
изношенный,ерсеф
использовать,ишламиш акьас
израненый,йирхIунар алеф
издеваться,"келхъенас (келхъенди, келхъуьна, келхъен, келхъуьб, кемелхъена)"
издевка,"келхъуьб (а, ар)"
избавиться,кеттархьас
избавляться,кеттархьас
известка,кирадж
известь,кирадж
истребить,ккедихьас
истреблять,ккедихьас
истребление,ккедихьуб
избавить,"ккеттивас (ккеттивай, ккеттивуна, ккеттив, ккеттивуб, ккеттимива)"
избавлять,"ккеттивас (ккеттивай, ккеттивуна, ккеттив, ккеттивуб, ккеттимива)"
исскякать,"ккиркIвас (ккиркIвай, ккиркIуна, ккиркIв, ккиркIуб, ккимиркIва)"
иссякнуть,"ккиркIвас (ккиркIвай, ккиркIуна, ккиркIв, ккиркIуб, ккимиркIва)"
исчерпать (ся),"ккиркIвас (ккиркIвай, ккиркIуна, ккиркIв, ккиркIуб, ккимиркIва)"
исчерпывать (ся),"ккиркIвас (ккиркIвай, ккиркIуна, ккиркIв, ккиркIуб, ккимиркIва)"
испачкаться,куранас
испачкать,куранас акьас
испачканный,куруф
из под,кIенаккес
истончать,кIилле акьас
истончить,кIилле акьас
истончаться,кIилле хьас
источниться,кIилле хьас
идживенец,ракьихъан
игла,руб
иголка,руб
измелчить,"ругIас (ругIай, ругIуна, ругI, ругIуб, маругIа)"
измельчать,"ругIас (ругIай, ругIуна, ругI, ругIуб, маругIа)"
искать,"руцас (руцай, руцуна, руц, руцуб, маруца)"
изморозь,"ручI (у, -)"
иней,"ручI (у, -)"
история,"тарих (ди, ар)"
исторический,тарихдинф
историк,тарихчи
имя,"ттур (ари, ар)"
изгиб,тIилкIан
искусство,усттавел
известие,"хабар (ди, ар)"
известить,хабар ес
извещать,хабар ес
издержки,хардж
иметь,хъахьас
инвалид,хъурмутI
истина,"хIекь (ди, -)"
истино,хIекьди
истинный,хIекьдинф
искривить (ся),цIакас
искривлять (ся),цIакас
изнашивать,цIуьре акьас
изнашиваться,цIуьре хьас
изношенный,цIуьреф
испортиться,чIирхьас
испорченный,чIирхьеф
ива,чIул
или,я
известить,ягIар акьас
извещать,ягIар акьас
иди,ях
обед (время),абкьан
обед (еда),абкьанттар
обедать,абкьанттар акьас
отгадать,"агъатIас (агъартIай, агъатIуна, агъатI, агъатIуб, агъамартIа)"
отгадывать,"агъатIас (агъартIай, агъатIуна, агъатI, агъатIуб, агъамартIа)"
отрава,"агъу (йи, бур)"
отравить,"агъу ес (- ирцIанди, - йина, - тин, - еб, - майирцIана)"
отравлять,"агъу ес (- ирцIанди, - йина, - тин, - еб, - майирцIана)"
отсутствие,адавел
опускать,"ададивас (ададивай, ададивуна, ададив, ададивуб, адмадива)"
опустить,"ададивас (ададивай, ададивуна, ададив, ададивуб, адмадива)"
отчислить,"адикас (адикай, адикуна, адик, адикуб, адимика)"
отчислять,"адикас (адикай, адикуна, адик, адикуб, адимика)"
особо крупный,азман хIаф
огромный,азманф
останавливаться (в гостях),"алайшас (алайшай, алайшина, алайш, алайшиб, аламайша)"
остановиться (в гостях),"алайшас (алайшай, алайшина, алайш, алайшиб, аламайша)"
"очистить (кожуру, кору и т.д.)","алакьас (алакьай, алакьуна, алакь, алакьуб, алмакьа)"
"очищать (кожуру, кору и т.д.)","алакьас (алакьай, алакьуна, алакь, алакьуб, алмакьа)"
очищенный,алакьуф
орудие,"алат (и, ар)"
"освежевать (кожуру, кору и т.д.)","алдахъас (алдархъай, алдахъуна, алдахъ, алдахъуб, алдамархъа)"
обвязать,"алитIанас (алиртIанди, алитIуна, алитIен, алитIуб, алимартIа)"
обвязывать,"алитIанас (алиртIанди, алитIуна, алитIен, алитIуб, алимартIа)"
отругать,"алухIанас (алурхIанди, алухIуна, алухIен, алухIуб, алумархIа)"
оставшийся,амеф
остальной,амеф
оставаться,амилгванас
остаться,амилгванас
оставить,"атас (артай, атуна, ате, атуб, амарта)"
оставлять,"атас (артай, атуна, ате, атуб, амарта)"
отрезать,"атIас (артIай, атIуна, атI, атIуб, амартIа)"
отрубать,"атIас (артIай, атIуна, атI, атIуб, амартIа)"
отрубить,"атIас (артIай, атIуна, атI, атIуб, амартIа)"
отправить (вслед),"ахъатас (ахъартай, ахъатуна, ахъарт, ахъатуб, ахъамарта)"
отправлять (вслед),"ахъатас (ахъартай, ахъатуна, ахъарт, ахъатуб, ахъамарта)"
оказаться (кому-чему где-л),ачархьас
оказываться (кому-чему где-л),ачархьас
овраг,"ачI (а, ар)"
около,багулив
огород,бустан
оглохнуть,"буше хьас (- вей, - хьуна, - ухь, - хьеб, -)"
отказать,ваъ пас
отказывать,ваъ пас
отказ,ваъ пеб
отросток спорыша,гунчI
опасаясь,гучIай
охапка,"гъаб (ала, ар)"
осознание,"гъавур (ди, -)"
осознавать,гъавурди архьас
осознать,гъавурди архьас
объяснить,гъавурди ихьас
объяснять,гъавурди ихьас
объяснение,гъавурди ихьуб
обматать,гъадичанас
обматывать,гъадичанас
ошибка,"гъалатI (и, ар)"
ошибаться,гъалатI хьас
ошибиться,гъалатI хьас
ограбить,гъара акьас
ожерелье,"гъараг (и, ар)"
остановка,гъирхIа мукь
останавливаться,"гъирхIас (гъирхIай, гъирхIуна, гъирхI, гъирхIуб, гъимирхIа)"
остановиться,"гъирхIас (гъирхIай, гъирхIуна, гъирхI, гъирхIуб, гъимирхIа)"
останавливаться,"гъузанас (гъурзанди, гъузуна, гъузен, гъузуб, магъурзана)"
остановиться,"гъузанас (гъурзанди, гъузуна, гъузен, гъузуб, магъурзана)"
останавливать,гъузар акьас
остановить,гъузар акьас
обрыв,"гъун (а, ар)"
обыкновенный,гьакIанф
обычный,гьакIанф
отослать,"гьатас (гьартай, гьатуна, гьат, гьатуб, гьамарта)"
отправить,"гьатас (гьартай, гьатуна, гьат, гьатуб, гьамарта)"
отправлять,"гьатас (гьартай, гьатуна, гьат, гьатуб, гьамарта)"
отсылать,"гьатас (гьартай, гьатуна, гьат, гьатуб, гьамарта)"
отодвигать,"гьаттивас (гьаттивай, гьаттивуна, гьаттив, гьаттивуб, гьаттимива)"
отодвинуть,"гьаттивас (гьаттивай, гьаттивуна, гьаттив, гьаттивуб, гьаттимива)"
отстранить,"гьаттивас (гьаттивай, гьаттивуна, гьаттив, гьаттивуб, гьаттимива)"
отстранять,"гьаттивас (гьаттивай, гьаттивуна, гьаттив, гьаттивуб, гьаттимива)"
отправить,"гьикас (гьикай, гьикуна, гьик, гьикуб, гьимика)"
отправлять,"гьикас (гьикай, гьикуна, гьик, гьикуб, гьимика)"
овес,гьучахьар
обвивать (ся),гIадиджанас
обвить (ся),гIадиджанас
обернуть (ся),гIадиджанас
обертывать (ся),гIадиджанас
обматать (ся),гIадиджанас
обматывать (ся),гIадиджанас
очки,гIайнабур
огурец,"гIафна (йи, бур)"
обычай,"гIедат (гIедати, гIедатар)"
обычный,гIедатин
охота,"гIурч (а, ар)"
охотиться,гIурч акьас
охотник,"гIурчахъан (ди, ар)"
осел,"даги (и, бур)"
отважно,дагучIай
отважный,дагучIаф
отец,"дад (а, ар)"
отцовский,дадан
отказ,"дайиб (а, ар)"
отцовство,дадвел
отчим,дахе дад
открывать (ся),"дахъас (дархъай, дахъуна, дахъ, дахъуб, мадархъа)"
открыть (ся),"дахъас (дархъай, дахъуна, дахъ, дахъуб, мадархъа)"
открытый,дахъуф
около,дегьен
остывать,дехъес
остынуть,дехъес
остыть,дехъес
остывший,дехъуьф
общий,джаллабуринф
общество,"джемеIет (и, ар)"
община,"джемеIет (и, ар)"
общественный,джемеIетинф
отыскать,"джикIенас (джиркIенди, джикIина, джикIен, джикIиб, маджиркIена)"
отыскивать,"джикIенас (джиркIенди, джикIина, джикIен, джикIиб, маджиркIена)"
ответ,"джуваб (а, ар)"
ответить,"джуваб ес (- ирцIанди, - йина, - тин, - еб, - майирцIана)"
отвечать,"джуваб ес (- ирцIанди, - йина, - тин, - еб, - майирцIана)"
ответчик,джуваб ирцIанф
отличие,джуьревел
отдельный,джуьреф
основа,диб
"очистить (поля, луга и т.д.)","дирхIас (дирхIай, дирхIуна, дирхI, дирхIуб, мадирхIа)"
"очищать (поля, луга и т.д.)","дирхIас (дирхIай, дирхIуна, дирхI, дирхIуб, мадирхIа)"
обменивать (ся),духIуба акьас
обменять (ся),духIуба акьас
обмен,духIуба акьуб
отрава,зегьер
обмочиться,зур хъайчас
описаться,зур хъайчас
обратить внимание,"ибур ес (- ирцIанди, - йина, - тин, - еб, - майирцIана)"
обращать внимани,"ибур ес (- ирцIанди, - йина, - тин, - еб, - майирцIана)"
опилка,"ибцIел (и, ар)"
организация,"идара (йи, бур)"
отличник,иджи хураф
оставаться,илгванас
остаться,илгванас
опоясываться,"итIанас (иртIанди, итIуна, итIен, итIуб, имиртIана)"
обозначение,"ишан (ди, ар)"
отметина,"ишан (ди, ар)"
отметка,"ишан (ди, ар)"
обозначенный,ишан алеф
отмеченный,ишан алеф
"облегчаться (душевно, морально)","йиркIв алавес (- алавей, - алайшуна, - алаях, - алайшуб, - алмева)"
